NAME,LOCATION,ELEV,LAT,LON
Abu,Japan,641,34.50,131.60
Acamarachi,Chile,6046,-23.30,-67.62
Acatenango,Guatemala,3976,14.50,-90.88
Acigöl-Nevsehir,Turkey,1689,38.57,34.52
Adams,USA,3742,46.21,-121.49
Adams Seamount,Pacific Ocean,-39,-25.37,-129.27
Adatara,Japan,1718,37.64,140.29
Adwa,Ethiopia,1733,10.07,40.84
Afderà,Ethiopia,1295,13.08,40.85
Agrigan,Mariana Islands,965,18.77,145.67
Agua,Guatemala,3760,14.47,-90.74
Agua de Pau,Azores,947,37.77,-25.47
Aguilera,Chile,2546,-50.33,-73.75
Agung,Lesser Sunda Islands,3142,-8.34,115.51
Ahyi,Mariana Islands,-137,20.42,145.03
Akademia Nauk,Russia,1180,53.98,159.45
Akagi,Japan,1828,36.56,139.20
Akan,Japan,1499,43.38,144.01
Akhtang,Russia,1956,55.43,158.65
Akita Komagatake,Japan,1637,39.76,140.80
Akita Yakeyama,Japan,1366,39.96,140.76
Akuseki-jima,Japan,584,29.46,129.60
Akutan,USA,1303,54.13,-165.99
Alaid,Russia,2339,50.86,155.55
Alamagan,Mariana Islands,744,17.60,145.83
Alayta,Ethiopia,1501,12.88,40.57
Alban Hills,Italy,949,41.73,12.70
Alcedo,Galápagos Islands,1130,-0.43,-91.12
Ale Bagu,Ethiopia,1031,13.52,40.63
Alid,Eritrea,904,14.88,39.92
Altiplano-Puna Volcanic Complex,Multiple Countries,4600,-22.44,-67.96
Ambrym,Vanuatu,1334,-16.25,168.12
Anatahan,Mariana Islands,790,16.35,145.67
Aneityum,Vanuatu,852,-20.20,169.78
Aniakchak,USA,1341,56.88,-158.17
Antisana,Ecuador,5753,-0.48,-78.14
Aoba,Vanuatu,1496,-15.40,167.83
Ararat,Turkey,5165,39.70,44.30
Arenal,Costa Rica,1670,10.46,-84.70
Arintica,Chile,5597,-18.73,-69.05
Asacha,Russia,1910,52.36,157.83
Asama,Japan,2568,36.40,138.53
Ascensión,South Atlantic Ocean,858,-7.95,-14.37
Askja,Iceland,1516,65.03,-16.75
Aso,Japan,1592,32.88,131.11
Atitlán,Guatemala,3535,14.58,-91.19
Atka,USA,1533,52.38,-174.15
Atsonupuri,Russia,1206,44.81,147.14
Augustine,USA,1252,59.36,-153.43
Avachinsky,Russia,2741,53.26,158.83
Awu,Indonesia,1320,3.67,125.50
Axial Seamount,Pacific Ocean,-1410,45.95,-130.00
Ayelu,Ethiopia,2145,10.08,40.70
Azufre,Chile,5846,-21.79,-68.24
Azuma,Japan,2035,37.73,140.25
Babuyon Claro,Philippines,1180,19.50,121.90
Bachelor,USA,2763,43.80,121.60
Bagana,Papua New Guinea,1750,-6.10,155.20
Baker,USA,3285,48.79,-121.82
Bam,Papua New Guinea,685,-3.60,144.85
Bamus,Papua New Guinea,2248,-5.20,151.20
Bandai,Japan,1819,37.60,140.10
Barren Island,India,305,12.29,93.88
Barrier,Kenya,1032,2.32,36.57
Bazman,Iran,3490,28.00,60.00
Beerenberg,Norway,2277,71.10,-8.20
Belknap,USA,2096,44.28,-121.83
Bezymianny,Russia,2882,55.98,160.58
Biliran,Philippines,1187,11.50,124.50
Bolshoi Semiachik,Russia,1720,54.32,160.02
Bulusan,Philippines,1565,12.80,124.10
Butajira,Ethiopia,2281,8.05,38.35
Cameroon (Mount),Cameroon,4095,4.20,9.17
Camiguin de Babuyanes,Philippines,712,18.83,121.85
Canlaon,Philippines,2435,10.41,123.13
Capulin,USA,2494,36.45,-104.09
Carrizozo,USA,1730,33.70,-106.00
Cayambe,Ecuador,5790,0.03,-77.99
Cereme,Indonesia,3078,-6.90,108.41
Chaine des Puys,France,1464,45.78,2.97
Chiginagak,USA,2067,57.13,-156.99
Chikurachki,Russia,5958,50.33,155.46
Chimborazo,Ecuador,6310,-1.46,-78.82
Cleveland,USA,1730,52.83,-169.95
Coatepeque,El Salvador,746,13.86,-89.54
Colima,Mexico,4100,19.51,103.62
Concepción,Nicaragua,1610,11.50,85.60
Copahue,Argentina,2965,-37.85,-71.17
Cosigüina,Nicaragua,847,12.98,-87.56
Cotopaxi,Ecuador,5911,-0.68,-78.44
Crater Lake,USA,2471,42.94,-122.11
